#histogram type: discrete-time histogram
#waiting time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,0011001100110011
1,0;2,0;0,0011001100110011
2,0;3,0;0,0011001100110011
3,0;4,0;0,0011001100110011
4,0;5,0;0,0011001100110011
5,0;6,0;0,0011001100110011
6,0;7,0;0,0011001100110011
7,0;8,0;0,0011001100110011
8,0;9,0;0,0011001100110011
9,0;10,0;0,0011001100110011
10,0;11,0;0,0011001100110011
11,0;12,0;0,0011001100110011
12,0;13,0;0,0011001100110011
13,0;14,0;0,0011001100110011
14,0;15,0;0,0011001100110011
15,0;16,0;0,0011001100110011
16,0;17,0;0,0011001100110011
17,0;18,0;0,0011001100110011
18,0;19,0;0,0011001100110011
19,0;20,0;0,0011001100110011
20,0;21,0;0,0011001100110011
21,0;22,0;0,0011001100110011
22,0;23,0;0,0011001100110011
23,0;24,0;0,0011001100110011
24,0;25,0;0,0011001100110011
25,0;26,0;0,0011001100110011
26,0;27,0;0,0011001100110011
27,0;28,0;0,0011001100110011
28,0;29,0;0,0011001100110011
29,0;30,0;0,0011001100110011
30,0;31,0;0,0011001100110011
31,0;32,0;0,0011001100110011
32,0;33,0;0,0011001100110011
33,0;34,0;0,0011001100110011
34,0;35,0;0,0011001100110011
35,0;36,0;0,0011001100110011
36,0;37,0;0,0011001100110011
37,0;38,0;0,0011001100110011
38,0;39,0;0,0011001100110011
39,0;40,0;0,0011001100110011
40,0;41,0;0,0011001100110011
41,0;42,0;0,0011001100110011
42,0;43,0;0,0011001100110011
43,0;44,0;0,0011001100110011
44,0;45,0;0,0011001100110011
45,0;46,0;0,0011001100110011
46,0;47,0;0,0011001100110011
47,0;48,0;0,0011001100110011
48,0;49,0;0,0011001100110011
49,0;50,0;0,0011001100110011
50,0;51,0;0,0011001100110011
51,0;52,0;0,0011001100110011
52,0;53,0;0,0011001100110011
53,0;54,0;0,0011001100110011
54,0;55,0;0,0011001100110011
55,0;56,0;0,0011001100110011
56,0;57,0;0,0011001100110011
57,0;58,0;0,0011001100110011
58,0;59,0;0,0011001100110011
59,0;60,0;0,0011001100110011
60,0;61,0;0,0011001100110011
61,0;62,0;0,0011001100110011
62,0;63,0;0,0011001100110011
63,0;64,0;0,0011001100110011
64,0;65,0;0,0011001100110011
65,0;66,0;0,0011001100110011
66,0;67,0;0,0011001100110011
67,0;68,0;0,0011001100110011
68,0;69,0;0,0011001100110011
69,0;70,0;0,0011001100110011
70,0;71,0;0,0011001100110011
71,0;72,0;0,0011001100110011
72,0;73,0;0,0011001100110011
73,0;74,0;0,0011001100110011
74,0;75,0;0,0011001100110011
75,0;76,0;0,0011001100110011
76,0;77,0;0,0011001100110011
77,0;78,0;0,0011001100110011
78,0;79,0;0,0011001100110011
79,0;80,0;0,0011001100110011
80,0;81,0;0,0011001100110011
81,0;82,0;0,0011001100110011
82,0;83,0;0,0011001100110011
83,0;84,0;0,0011001100110011
84,0;85,0;0,0011001100110011
85,0;86,0;0,0011001100110011
86,0;87,0;0,0011001100110011
87,0;88,0;0,0011001100110011
88,0;89,0;0,0011001100110011
89,0;90,0;0,0011001100110011
90,0;91,0;0,0011001100110011
91,0;92,0;0,0011001100110011
92,0;93,0;0,0011001100110011
93,0;94,0;0,0011001100110011
94,0;95,0;0,0011001100110011
95,0;96,0;0,0011001100110011
96,0;97,0;0,0011001100110011
97,0;98,0;0,0011001100110011
98,0;99,0;0,0011001100110011
99,0;100,0;0,8910891089108911
