#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,0984732072014578
1,0;2,0;0,04546646764728436
2,0;3,0;0,04328030864476272
3,0;4,0;0,041091801640090304
4,0;5,0;0,038210025000382904
5,0;6,0;0,03665868157935233
6,0;7,0;0,034926487992663
7,0;8,0;0,0328318020739307
8,0;9,0;0,030982538380005156
9,0;10,0;0,029628089139329652
10,0;11,0;0,02792520557948831
11,0;12,0;0,026299910090717644
12,0;13,0;0,025011782910793146
13,0;14,0;0,02339318642815877
14,0;15,0;0,0220418641903476
15,0;16,0;0,020891675136774424
16,0;17,0;0,020008998328242468
17,0;18,0;0,019116121510367304
18,0;19,0;0,018040774525349464
19,0;20,0;0,017295692842854645
20,0;21,0;0,0167730483641123
21,0;22,0;0,015976367634352753
22,0;23,0;0,015145802873555433
23,0;24,0;0,014113119927617854
24,0;25,0;0,013063862966498477
25,0;26,0;0,012357967319898066
26,0;27,0;0,011738671752623326
27,0;28,0;0,011306906357126223
28,0;29,0;0,01054600166013752
29,0;30,0;0,009710756895053315
30,0;31,0;0,009413439622710695
31,0;32,0;0,009209214435640423
32,0;33,0;0,008395814690566257
33,0;34,0;0,00816705348102099
34,0;35,0;0,007635317993951282
35,0;36,0;0,007616446976665431
36,0;37,0;0,007314490700073481
37,0;38,0;0,007029629439140566
38,0;39,0;0,006892364313405711
39,0;40,0;0,006496148950472439
40,0;41,0;0,006189818669873902
41,0;42,0;0,0058237453345507265
42,0;43,0;0,005778494293100772
43,0;44,0;0,005414503959685627
44,0;45,0;0,00528920184490889
45,0;46,0;0,005084242657166274
46,0;47,0;0,004708598313076055
47,0;48,0;0,004652032261261551
48,0;49,0;0,0047698473691801906
49,0;50,0;0,004288459928229294
50,0;51,0;0,004099030754712171
51,0;52,0;0,0037489014339937136
52,0;53,0;0,0035363322392803313
53,0;54,0;0,0034257911380246825
54,0;55,0;0,0031851539176009887
55,0;56,0;0,003202186933203231
56,0;57,0;0,003092670832886483
57,0;58,0;0,0030857398265376813
58,0;59,0;0,0029623087134747817
59,0;60,0;0,002678145453181235
60,0;61,0;0,0025998683814794374
61,0;62,0;0,002594811376847221
62,0;63,0;0,002440970235928736
63,0;64,0;0,002302269108878504
64,0;65,0;0,0021948580104899375
65,0;66,0;0,00207655490212429
66,0;67,0;0,0019933248258855404
67,0;68,0;0,0019000247404226621
68,0;69,0;0,001872451715165771
69,0;70,0;0,0015926944589081244
70,0;71,0;0,0015384134091866828
71,0;72,0;0,0013561612422436978
72,0;73,0;0,00138489926856773
73,0;74,0;0,0013537892400709438
74,0;75,0;0,0012945371857960622
75,0;76,0;0,0012636081574650723
76,0;77,0;0,0011784500794602727
77,0;78,0;0,0011445550484124243
78,0;79,0;0,0010961480040715718
79,0;80,0;0,021329357537691506
