#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,0994372082969747
1,5;0,0464263127136487
2,5;0,04461605277272982
3,5;0,04136879267970507
4,5;0,03897812877762923
5,5;0,037175874408588376
6,5;0,03543666391808699
7,5;0,033589378207232234
8,5;0,0314388814614972
9,5;0,02952154699670971
10,5;0,028176610921201155
11,5;0,026761626091759864
12,5;0,024803263071097485
13,5;0,023543386196792967
14,5;0,022423606830353927
15,5;0,02103964359193999
16,5;0,020364173464731454
17,5;0,019715722142611258
18,5;0,01840480974758432
19,5;0,017233994860422854
20,5;0,016628573487147056
21,5;0,015461761385924604
22,5;0,014578146389887362
23,5;0,013549430403560879
24,5;0,013045079375245171
25,5;0,012136446967089093
26,5;0,011569052060233924
27,5;0,0110306773514366
28,5;0,010193094393698013
29,5;0,010031982259652718
30,5;0,009346505167596648
31,5;0,009082321295621752
32,5;0,00854094449737017
33,5;0,008137663814014554
34,5;0,007844459743981812
35,5;0,007576273086067903
36,5;0,0074762034375925645
37,5;0,007067919271813182
38,5;0,006442483968842314
39,5;0,006353421981699262
40,5;0,005970155228038715
41,5;0,00600718099797459
42,5;0,00575600618030149
43,5;0,00538975126688175
44,5;0,005208625203141386
45,5;0,004802342430331511
46,5;0,004522147414600562
47,5;0,004324009510619391
48,5;0,004111861855851673
49,5;0,0039017155940534614
50,5;0,003747608335401439
51,5;0,0035494704314202683
52,5;0,0035274551087556938
53,5;0,0034974342142130924
54,5;0,003280283077021607
55,5;0,0033073018821099484
56,5;0,0031371834797018724
57,5;0,0031321799972781057
58,5;0,0028850079655440186
59,5;0,002715890259620696
60,5;0,0025267586240023056
61,5;0,0024487042981915412
62,5;0,0023156116657193407
63,5;0,002133484905494224
64,5;0,00212047585119243
65,5;0,0020164034167780777
66,5;0,0019003226245466844
67,5;0,0017762362604372642
68,5;0,0016411422349955568
69,5;0,0015891060177883806
70,5;0,0015420732830049714
71,5;0,0014139841329565378
72,5;0,0012618782672740227
73,5;0,001329925628237253
74,5;0,001321920056359226
75,5;0,001187826727402272
76,5;0,0011708148871614644
77,5;0,0010787508105641528
78,5;0,0010297166828112366
79,5;0,018873135702448904
