#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; probability density
0,0;1,0;0,0994372082969747
1,0;2,0;0,0464263127136487
2,0;3,0;0,04461605277272982
3,0;4,0;0,04136879267970507
4,0;5,0;0,03897812877762923
5,0;6,0;0,037175874408588376
6,0;7,0;0,03543666391808699
7,0;8,0;0,033589378207232234
8,0;9,0;0,0314388814614972
9,0;10,0;0,02952154699670971
10,0;11,0;0,028176610921201155
11,0;12,0;0,026761626091759864
12,0;13,0;0,024803263071097485
13,0;14,0;0,023543386196792967
14,0;15,0;0,022423606830353927
15,0;16,0;0,02103964359193999
16,0;17,0;0,020364173464731454
17,0;18,0;0,019715722142611258
18,0;19,0;0,01840480974758432
19,0;20,0;0,017233994860422854
20,0;21,0;0,016628573487147056
21,0;22,0;0,015461761385924604
22,0;23,0;0,014578146389887362
23,0;24,0;0,013549430403560879
24,0;25,0;0,013045079375245171
25,0;26,0;0,012136446967089093
26,0;27,0;0,011569052060233924
27,0;28,0;0,0110306773514366
28,0;29,0;0,010193094393698013
29,0;30,0;0,010031982259652718
30,0;31,0;0,009346505167596648
31,0;32,0;0,009082321295621752
32,0;33,0;0,00854094449737017
33,0;34,0;0,008137663814014554
34,0;35,0;0,007844459743981812
35,0;36,0;0,007576273086067903
36,0;37,0;0,0074762034375925645
37,0;38,0;0,007067919271813182
38,0;39,0;0,006442483968842314
39,0;40,0;0,006353421981699262
40,0;41,0;0,005970155228038715
41,0;42,0;0,00600718099797459
42,0;43,0;0,00575600618030149
43,0;44,0;0,00538975126688175
44,0;45,0;0,005208625203141386
45,0;46,0;0,004802342430331511
46,0;47,0;0,004522147414600562
47,0;48,0;0,004324009510619391
48,0;49,0;0,004111861855851673
49,0;50,0;0,0039017155940534614
50,0;51,0;0,003747608335401439
51,0;52,0;0,0035494704314202683
52,0;53,0;0,0035274551087556938
53,0;54,0;0,0034974342142130924
54,0;55,0;0,003280283077021607
55,0;56,0;0,0033073018821099484
56,0;57,0;0,0031371834797018724
57,0;58,0;0,0031321799972781057
58,0;59,0;0,0028850079655440186
59,0;60,0;0,002715890259620696
60,0;61,0;0,0025267586240023056
61,0;62,0;0,0024487042981915412
62,0;63,0;0,0023156116657193407
63,0;64,0;0,002133484905494224
64,0;65,0;0,00212047585119243
65,0;66,0;0,0020164034167780777
66,0;67,0;0,0019003226245466844
67,0;68,0;0,0017762362604372642
68,0;69,0;0,0016411422349955568
69,0;70,0;0,0015891060177883806
70,0;71,0;0,0015420732830049714
71,0;72,0;0,0014139841329565378
72,0;73,0;0,0012618782672740227
73,0;74,0;0,001329925628237253
74,0;75,0;0,001321920056359226
75,0;76,0;0,001187826727402272
76,0;77,0;0,0011708148871614644
77,0;78,0;0,0010787508105641528
78,0;79,0;0,0010297166828112366
79,0;80,0;0,018873135702448904
