#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; probability density
0,0;1,0;0,11231079717457114
1,0;2,0;0,05156407669021191
2,0;3,0;0,05035317860746721
3,0;4,0;0,04783047426841574
4,0;5,0;0,04460141271442987
5,0;6,0;0,043491422805247225
6,0;7,0;0,04328960645812311
7,0;8,0;0,041574167507568115
8,0;9,0;0,02946518668012109
9,0;10,0;0,02936427850655903
10,0;11,0;0,027144298688193742
11,0;12,0;0,026841574167507567
12,0;13,0;0,01927346115035318
13,0;14,0;0,021897073662966702
14,0;15,0;0,020282542885973764
15,0;16,0;0,01584258324924319
16,0;17,0;0,017558022199798184
17,0;18,0;0,018567103935418768
18,0;19,0;0,018264379414732593
19,0;20,0;0,020181634712411706
20,0;21,0;0,020080726538849646
21,0;22,0;0,019374369323915237
22,0;23,0;0,016952573158425834
23,0;24,0;0,01503531786074672
24,0;25,0;0,016851664984863773
25,0;26,0;0,01503531786074672
26,0;27,0;0,014833501513622603
27,0;28,0;0,013824419778002018
28,0;29,0;0,009485368314833502
29,0;30,0;0,009989909182643794
30,0;31,0;0,010696266397578204
31,0;32,0;0,009384460141271443
32,0;33,0;0,010393541876892029
33,0;34,0;0,008476286579212917
34,0;35,0;0,008375378405650858
35,0;36,0;0,009182643794147327
36,0;37,0;0,009081735620585268
37,0;38,0;0,007366296670030272
38,0;39,0;0,006054490413723511
39,0;40,0;0,0069626639757820385
40,0;41,0;0,007669021190716448
41,0;42,0;0,005852674066599395
42,0;43,0;0,006760847628657921
43,0;44,0;0,0068617558022199794
44,0;45,0;0,005751765893037336
45,0;46,0;0,004238143289606458
46,0;47,0;0,0034308779011099897
47,0;48,0;0,004641775983854692
48,0;49,0;0,0037336024217961656
49,0;50,0;0,003935418768920283
50,0;51,0;0,0029263370332996974
51,0;52,0;0,0022199798183652874
52,0;53,0;0,0011099899091826437
53,0;54,0;0,0020181634712411706
54,0;55,0;0,0016145307769929364
55,0;56,0;1,0090817356205853E-4
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
