#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,11262646946025053
1,0;2,0;0,05405368089216433
2,0;3,0;0,052148088068512795
3,0;4,0;0,049192479366822854
4,0;5,0;0,05199347260288119
5,0;6,0;0,04948048633011007
6,0;7,0;0,049766211146303085
7,0;8,0;0,040480839264158186
8,0;9,0;0,039920343937824274
9,0;10,0;0,04283841131981473
10,0;11,0;0,032957284938730624
11,0;12,0;0,026051507831701237
12,0;13,0;0,03203415643912937
13,0;14,0;0,02563136455166022
14,0;15,0;0,02741292268074234
15,0;16,0;0,023276873394580837
16,0;17,0;0,02312180149953039
17,0;18,0;0,021314341000929177
18,0;19,0;0,02127417521207137
19,0;20,0;0,023527681360232696
20,0;21,0;0,02323020348650458
21,0;22,0;0,017272544389757862
22,0;23,0;0,014725554125283258
23,0;24,0;0,01529631911354104
24,0;25,0;0,01110595472653773
25,0;26,0;0,010284724094692216
26,0;27,0;0,007552994022942653
27,0;28,0;0,011003486322008444
28,0;29,0;0,009144221084369039
29,0;30,0;0,009774093682366432
30,0;31,0;0,010601257896656849
31,0;32,0;0,008476008415189196
32,0;33,0;0,009869487430903717
33,0;34,0;0,00725437507566744
34,0;35,0;0,00987234011477146
35,0;36,0;0,008042400467292439
36,0;37,0;0,004106267266582281
37,0;38,0;0,004337562874578787
38,0;39,0;0,004216723185941244
39,0;40,0;0,002791522325617432
40,0;41,0;0,0011568203620466616
41,0;42,0;4,599667468346905E-4
42,0;43,0;3,225814917642446E-4
43,0;44,0;0,0
44,0;45,0;0,0
45,0;46,0;0,0
46,0;47,0;0,0
47,0;48,0;0,0
48,0;49,0;0,0
49,0;50,0;0,0
50,0;51,0;0,0
51,0;52,0;0,0
52,0;53,0;0,0
53,0;54,0;0,0
54,0;55,0;0,0
55,0;56,0;0,0
56,0;57,0;0,0
57,0;58,0;0,0
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
