#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,08653811238506733
1,0;2,0;0,040988718944202196
2,0;3,0;0,03407086469867274
3,0;4,0;0,03368093840339333
4,0;5,0;0,029707022347230275
5,0;6,0;0,03330404169124843
6,0;7,0;0,027379746559656054
7,0;8,0;0,021393080308796848
8,0;9,0;0,022082580216308167
9,0;10,0;0,01777213779574484
10,0;11,0;0,016184130651261286
11,0;12,0;0,013809222125342881
12,0;13,0;0,010354460197186721
13,0;14,0;0,01333204034300698
14,0;15,0;0,01346148177545799
15,0;16,0;0,017640453566196902
16,0;17,0;0,013984160298902908
17,0;18,0;0,014786868059877983
18,0;19,0;0,016438741521692973
19,0;20,0;0,01227269251422681
20,0;21,0;0,013603418791734717
21,0;22,0;0,015843759491837715
22,0;23,0;0,01867448982774037
23,0;24,0;0,01572862924086231
24,0;25,0;0,012505409412998056
25,0;26,0;0,017703999483943068
26,0;27,0;0,014731545731487205
27,0;28,0;0,016768325895078963
28,0;29,0;0,01851834842984979
29,0;30,0;0,016007804079498398
30,0;31,0;0,015882848241241237
31,0;32,0;0,01594148136534652
32,0;33,0;0,013076575073681224
33,0;34,0;0,014710292558997312
34,0;35,0;0,014570277940232234
35,0;36,0;0,011234597857936533
36,0;37,0;0,008584038888820063
37,0;38,0;0,008102905511599106
38,0;39,0;0,0056348675062275
39,0;40,0;0,0073806180465280005
40,0;41,0;0,006650534191548542
41,0;42,0;0,008917147657644071
42,0;43,0;0,009107144611712015
43,0;44,0;0,010519679583326747
44,0;45,0;0,008666167982512164
45,0;46,0;0,008012339228828103
46,0;47,0;0,008413586309453882
47,0;48,0;0,008398527528945966
48,0;49,0;0,008851572542524501
49,0;50,0;0,0076145097437785875
50,0;51,0;0,00827378529041232
51,0;52,0;0,012063257985318864
52,0;53,0;0,009288170377392263
53,0;54,0;0,00782725506840104
54,0;55,0;0,008076739545468333
55,0;56,0;0,0053307014999399785
56,0;57,0;0,005838214443015225
57,0;58,0;0,005390829822109878
58,0;59,0;0,0077327371907449805
59,0;60,0;0,0047413798627579055
60,0;61,0;0,005630168312310137
61,0;62,0;0,005342129085148112
62,0;63,0;0,004130271053777148
63,0;64,0;0,004023150792433614
64,0;65,0;0,0039252153192012905
65,0;66,0;0,00326092017906492
66,0;67,0;0,004199904563643533
67,0;68,0;0,004763167034556591
68,0;69,0;0,00290271344272772
69,0;70,0;0,002264477468860364
70,0;71,0;0,0021082292711080315
71,0;72,0;0,0029730945516264124
72,0;73,0;0,0038830293738067786
73,0;74,0;0,003239773806436785
74,0;75,0;0,003164693503620729
75,0;76,0;0,0020718105182484653
76,0;77,0;0,0034754811013372622
77,0;78,0;0,002301323421166964
78,0;79,0;0,0029351806007022305
79,0;80,0;0,009305258355273585
