#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,09116915422885573
1,0;2,0;0,047388059701492534
2,0;3,0;0,046019900497512436
3,0;4,0;0,03893034825870647
4,0;5,0;0,03893034825870647
5,0;6,0;0,033706467661691546
6,0;7,0;0,03395522388059701
7,0;8,0;0,03544776119402985
8,0;9,0;0,03009950248756219
9,0;10,0;0,03308457711442786
10,0;11,0;0,030223880597014925
11,0;12,0;0,028731343283582088
12,0;13,0;0,0332089552238806
13,0;14,0;0,030597014925373135
14,0;15,0;0,02810945273631841
15,0;16,0;0,030223880597014925
16,0;17,0;0,026119402985074626
17,0;18,0;0,028358208955223882
18,0;19,0;0,02027363184079602
19,0;20,0;0,021766169154228857
20,0;21,0;0,019154228855721392
21,0;22,0;0,01753731343283582
22,0;23,0;0,020149253731343283
23,0;24,0;0,020771144278606966
24,0;25,0;0,018532338308457713
25,0;26,0;0,01828358208955224
26,0;27,0;0,015671641791044775
27,0;28,0;0,012313432835820896
28,0;29,0;0,012935323383084577
29,0;30,0;0,01281094527363184
30,0;31,0;0,010945273631840797
31,0;32,0;0,00808457711442786
32,0;33,0;0,008830845771144279
33,0;34,0;0,009825870646766169
34,0;35,0;0,00845771144278607
35,0;36,0;0,007711442786069652
36,0;37,0;0,006716417910447761
37,0;38,0;0,006467661691542288
38,0;39,0;0,005472636815920398
39,0;40,0;0,007587064676616915
40,0;41,0;0,006467661691542288
41,0;42,0;0,003606965174129353
42,0;43,0;0,00609452736318408
43,0;44,0;0,004601990049751244
44,0;45,0;0,0028606965174129352
45,0;46,0;0,003233830845771144
46,0;47,0;0,004228855721393035
47,0;48,0;0,003980099502487562
48,0;49,0;0,0028606965174129352
49,0;50,0;0,0026119402985074628
50,0;51,0;0,001119402985074627
51,0;52,0;0,001119402985074627
52,0;53,0;6,218905472636816E-4
53,0;54,0;6,218905472636816E-4
54,0;55,0;3,7313432835820896E-4
55,0;56,0;4,975124378109452E-4
56,0;57,0;3,7313432835820896E-4
57,0;58,0;1,243781094527363E-4
58,0;59,0;0,0
59,0;60,0;0,0
60,0;61,0;0,0
61,0;62,0;0,0
62,0;63,0;0,0
63,0;64,0;0,0
64,0;65,0;0,0
65,0;66,0;0,0
66,0;67,0;0,0
67,0;68,0;0,0
68,0;69,0;0,0
69,0;70,0;0,0
70,0;71,0;0,0
71,0;72,0;0,0
72,0;73,0;0,0
73,0;74,0;0,0
74,0;75,0;0,0
75,0;76,0;0,0
76,0;77,0;0,0
77,0;78,0;0,0
78,0;79,0;0,0
79,0;80,0;0,0
