#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
batch means autocorrelation (lag=0);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;176.2283760553907;0.9988399071925754
batch means autocorrelation (lag=1);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;170.6399494240049;0.9671654194466779
batch means autocorrelation (lag=2);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;163.2487697520777;0.9252731579233068
batch means autocorrelation (lag=3);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;156.69398745393096;0.8881214897930246
batch means autocorrelation (lag=4);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;150.9730668881663;0.8556960433645312
batch means autocorrelation (lag=5);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;145.80685670173386;0.8264146244542668
batch means autocorrelation (lag=6);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;140.12054704482887;0.7941853482326778
batch means autocorrelation (lag=7);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;134.34656535588465;0.761459158141112
batch means autocorrelation (lag=8);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;128.17939230634667;0.7265044096816193
batch means autocorrelation (lag=9);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;122.41556600056174;0.6938357790035791
batch means autocorrelation (lag=10);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;117.12617909944743;0.6638562102208874
batch means autocorrelation (lag=11);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;112.02879347830725;0.6349648801484584
batch means autocorrelation (lag=12);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;106.5891701669317;0.6041337905979925
batch means autocorrelation (lag=13);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;101.88126189637373;0.5774499683595283
